A	T	
0.301029996	1.146128036	
0.602059991	-0.56144214	
0	0.452297671	
0.84509804	-2.269512944	
0.477121255	-1.849507159	
0.477121255	-0.255272505	
0	-0.756961951	
0.176091259	0.477121255	
0.477121255	0.77815125	
0.477121255	-0.803261971	
0.602059991	0	
0.22184875	0.301029996	
0	-0.301029996	
1.041392685	-1.337459261	
0.352182518	0.124938737	
0.602059991	0.77815125	
0.544068044	0.698970004	
1.491361694	-0.260193742	
-1.301029996	-3.526006782	
0.602059991	0.243038049	
0.096910013	0	
0	0.903089987	
0.176091259	0.77815125	
0.477121255	0.544068044	
0.698970004	0.954242509	
0.698970004	0.301029996	
0.77815125	0.079181246	
0.77815125	0.477121255	
0.6734159	0.653212514	
0.301029996	0.698970004	
-0.124938737	0.301029996	
0.698970004	0.301029996	
0	0.477121255	
0.477121255	-1.550228353	
0.602059991	0.698970004	
0.301029996	0.77815125	
0.698970004	0.342422681	
0.84509804	-0.531478917	
0.84509804	-0.388180171	
0.77815125	0.680978903	
0.84509804	-1.743313739	
0.84509804	-0.375663614	
0.77815125	0.645358873	
0.477121255	0.522878745	
0.477121255	0.826999818	
0.84509804	0.477121255	
0.397940009	0.903089987	
0.477121255	0.77815125	
0.84509804	0.508155488	
0.602059991	0.301029996	
0.477121255	0.367976785	
0.477121255	0.176091259	
0.698970004	0.77815125	
0.698970004	0.531478917	
0.477121255	0.77815125	
0.84509804	-0.238239166	
0.77815125	1.255272505	
0.602059991	0.602059991	
0.602059991	0.301029996	
0.301029996	0.77815125	
0	-0.740362689	
0.569875308	0	
	p_value	0.002008044
