	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Methanoplanus limicola	1.122788467	1.271046099	1.188795355	1.672710804	1.612410857	1.38832708	1.493444491	1.350714761	1.87361867	1.969015412	1.86338578	1.873303603	2.050821788	1.921359986	1.955683158	1.857856534	2.229799208	2.009699383	3.487541272	2.271396466	2.534168959	2.295992329	2.435664833	2.325687508	2.030201115	2.364378503	0.640686455	0.879081351	0.910004714	0.093195198	0.52767958	0.513660875	1.086362132	0.853665504	1.13671978	0.981380093	1.298409625	1.742393089	1.456457387	1.438205457	1.328446522	0.432832271	0.542743657	0.486034117	0.772010912	0.715884877	0.941476719	1.519354665	1.260157643	0.953402352	1.281572947	1.101285436	1.405369242	1.153369578	1.221698939	1.260397974	1.182403146	1.128718294	1.193438076	1.17078995
Ignicoccus hospitalis	0.00887065	0.125318995	0.033059505	0.598756367	0.465127993	0.282636133	0.291570118	0.156905087	1.073545829	0.908665471	0.875403954	0.845654426	1.119207506	0.990907928	0.638457203	0.584347929	1.118933387	0.814304209	3.013706954	1.217734492	1.451155255	1.224558945	1.412317086	1.269256586	0.720201557	1.328813876	-0.713413394	-0.353007017	-0.421685035	-1.276112691	-0.762119726	-0.727445825	-0.311688707	-0.483555947	-0.329522809	0.046561321	0.468208117	0.871856512	0.421722339	0.412591625	0.299704967	-0.528680966	-0.474173567	-0.481306131	-0.106403251	-0.280546164	0.179246695	0.697817514	0.380028934	-0.165703958	0.296097697	0.056820828	0.446428537	0.172795476	0.192345899	0.285547619	0.336262647	0.264226371	0.25396434	0.239821704
Methanobrevibacter_A smithii	3.032601404	2.821597142	3.07047154	1.984028261	2.237705903	2.977839392	2.755410034	2.809021393	1.442946201	1.547617944	1.639982063	1.625266413	1.314152515	1.860680972	1.891873608	1.339520452	0.802653767	1.241576476	-2.55765403	0.96595327	0.80538901	1.289970149	0.877853002	1.074767842	2.651221654	1.721490458	4.605399912	4.144242219	4.162755293	5.786317038	4.66209727	4.603988555	5.068641163	4.75423931	4.021202524	4.573728949	3.861371729	2.797636575	3.360899241	3.094821151	3.321154643	4.49804524	4.81315542	4.67983607	4.058038176	4.068985325	3.83165164	2.710347412	3.432246595	3.880942903	3.314025032	3.637317228	2.475684422	3.120088019	3.119139689	3.123417737	2.927102625	3.381400201	3.328158313	3.266157357
Methanonatronarchaeum sp. AMET6-2	0.742535462	0.51369998	0.63568834	-0.006198616	0.034813605	0.438212693	0.201375931	0.378586565	-0.07714196	-0.398529327	-0.200404838	-0.24947939	-0.413844979	-0.183333241	-0.557034055	-0.490498068	-0.851811714	-0.609289913	-2.232685378	-0.824695653	-1.174937862	-0.819905148	-0.998459661	-0.872659611	-0.521384519	-0.801621977	1.317191796	1.082947376	0.963164584	2.105509486	1.511008679	1.561546208	0.841516766	1.112256912	0.5660903	1.292506051	0.915554271	0.213876101	0.481118887	0.469707366	0.625672141	1.882224021	1.755688774	1.844202465	1.50163765	1.465342778	1.377122021	0.498227546	0.850924059	1.058188375	0.716457578	0.918515328	0.473003895	0.837617438	0.716820989	0.721398653	0.892980118	1.006988345	0.859460691	0.883367625
Methanosphaera sp900322125	2.868517351	2.520561111	2.555720614	2.101222383	1.93754998	2.126073555	1.790804209	2.193886249	2.457147254	1.569946391	1.962113748	1.862614697	1.760407674	1.7312899	0.832361832	1.638569397	1.258051021	1.413796252	1.326366318	1.120766063	0.392628654	0.761159359	0.754783734	0.868005928	0.038189631	0.294438739	2.628820679	2.508907788	2.202977487	3.338106449	3.053889456	3.239358726	0.845730815	1.908252065	1.362480674	2.465385831	2.267232648	1.668017232	1.76943455	2.046859073	2.195854351	4.120152454	3.436108453	3.809393912	3.601666724	3.530649326	3.499310856	2.505108413	2.613271309	2.714229991	2.429926424	2.605503778	2.756376459	2.974688803	2.672427798	2.66191827	3.302907379	3.079750024	2.77633448	2.909095814
Methanobrevibacter_A woesei	1.633043962	1.466901944	1.564465587	1.064119649	1.108876138	1.424852773	1.254255249	1.376401915	0.976492216	0.773002699	0.910240658	0.877166941	0.745289957	0.933970036	0.693721121	0.703207659	0.423476309	0.615563395	-0.727396699	0.450451192	0.205696744	0.474092983	0.327531683	0.425012017	0.764511842	0.512236103	2.122065247	1.933241431	1.856202088	2.725306849	2.25435124	2.283668456	1.832226849	1.99323889	1.583789819	2.093870071	1.793989215	1.257483541	1.475843755	1.451469494	1.570309844	2.486039618	2.421779197	2.471924195	2.201006777	2.180244629	2.100721777	1.442085351	1.725168322	1.897745459	1.62994284	1.787073633	1.413888807	1.699241433	1.61913315	1.621241387	1.721327625	1.826568686	1.725867363	1.737894243
Enterococcus virus AUEF3	1.761870696	1.420426303	1.473277335	0.66978373	0.682838508	0.685388582	0.61014916	1.143289951	0.201928015	-0.073498806	0.192056886	0.205194822	-0.263604315	-0.387107048	-0.183889336	0.870466831	-0.216177162	0.26621002	-2.082455909	-0.653318314	-1.550397244	-1.141228866	-1.275969068	-1.016622581	-1.445868232	-2.001949873	2.118738625	1.546726464	1.491999728	3.014744254	2.466986534	2.551559061	-0.307453014	1.010960935	0.835881743	0.284411375	-0.296121419	-0.839805043	-0.146927425	0.249421553	0.440537964	2.744165692	1.941647523	2.299892399	1.753152171	2.102989738	1.194819917	0.171830977	0.447009693	1.442274748	0.607588423	1.036683878	1.088084401	1.388931976	1.147394731	0.922956293	1.366652202	1.055788642	0.920485578	1.08498217
Chipapillomavirus 3	1.347694472	1.119426375	1.25855849	0.488097618	0.58987721	0.98602368	0.807724519	1.00549389	0.183327586	0.038469889	0.199919632	0.179401978	-0.084762458	0.155734707	0.068949	0.136344335	-0.407831183	-0.069256231	-2.432181991	-0.436910645	-0.812516143	-0.432191306	-0.663844356	-0.496422728	0.063965973	-0.466350575	2.158193751	1.796288656	1.745750636	3.034568453	2.323865017	2.341720466	1.615588413	1.894382543	1.410209995	1.747800202	1.247637969	0.517481582	0.95121566	0.943593513	1.117501952	2.468216845	2.353675841	2.41927615	1.969056466	2.033614465	1.728741212	0.810978385	1.240132583	1.677928166	1.184849051	1.458738224	0.919301747	1.332815942	1.235688129	1.191023631	1.285202218	1.411654149	1.309868391	1.333435744
Escherichia virus EC2	-0.126912811	-0.384063208	-0.233009348	-0.983050754	-0.925704369	-0.417271821	-0.703063978	-0.526579741	-1.054555097	-1.415545281	-1.194071415	-1.254091673	-1.428982642	-1.125247593	-1.584816939	-1.598804114	-1.974008585	-1.702109034	-3.614467102	-1.905190694	-2.26673441	-1.853708881	-2.072508989	-1.933211583	-1.426772786	-1.75621882	0.591441996	0.334923062	0.196289201	1.513270871	0.800733362	0.853071651	0.209093439	0.429243656	-0.237472086	0.688844429	0.253373866	-0.585301645	-0.294157771	-0.345029684	-0.163844648	1.219020818	1.135219323	1.211126799	0.817711911	0.750181913	0.699715088	-0.319360129	0.108807407	0.303121086	-0.067333334	0.15578654	-0.421978718	0.015897696	-0.111600655	-0.090324187	0.076690907	0.250920293	0.082182528	0.097032224
Klebsiella virus K11	0.637118074	0.404864703	0.536110471	-0.11017229	-0.072754736	0.382363905	0.113658009	0.270702996	-0.124857061	-0.489007853	-0.281008884	-0.340933714	-0.478102873	-0.2104931	-0.683655509	-0.687770703	-0.989798344	-0.765138172	-2.322386611	-0.919264684	-1.243297432	-0.877314359	-1.061504693	-0.944593774	-0.543756673	-0.785496405	1.227263274	1.022726473	0.882969239	2.03674644	1.423124601	1.477917039	0.881763551	1.086965031	0.476891895	1.386568012	1.021354141	0.275395617	0.503028242	0.460010374	0.619069783	1.849770151	1.765794096	1.841611566	1.510615169	1.430482625	1.427094477	0.518738951	0.885534324	1.014725073	0.711830318	0.898031091	0.404466909	0.78633512	0.665306317	0.693616513	0.86365993	1.013734163	0.851792733	0.866447583
Propionibacterium virus Lauchelly	0.427586968	0.220833636	0.34958373	-0.372899304	-0.269099763	0.085390254	-0.063258437	0.121333727	-0.696734301	-0.792414383	-0.653424181	-0.66602176	-0.926057597	-0.70858558	-0.727173594	-0.66103072	-1.192720711	-0.86650302	-3.152112495	-1.232535478	-1.579835117	-1.230835092	-1.450447474	-1.290226175	-0.746404009	-1.276626428	1.205591331	0.851503114	0.819895845	2.015541968	1.350521125	1.360382014	0.692018981	0.950912398	0.52757743	0.749006282	0.271551409	-0.393103947	0.034063871	0.030015321	0.190885239	1.435507109	1.330898496	1.387046037	0.957760474	1.038152874	0.715451353	-0.122315678	0.280252364	0.725605004	0.247513836	0.510406093	0.006917715	0.389930172	0.306230819	0.254942469	0.326072209	0.44065058	0.357801367	0.379752047
Cellulophaga phage phi19:3	0.385679572	0.179096983	0.302698387	-0.394612341	-0.302007434	0.043597071	-0.110275856	0.074925787	-0.684315255	-0.806440839	-0.66191036	-0.677933971	-0.924352376	-0.716381331	-0.77121696	-0.689922482	-1.198812332	-0.887322333	-3.043711583	-1.236764943	-1.585360989	-1.24303024	-1.451254571	-1.297126982	-0.804733872	-1.294196526	1.114722001	0.779098962	0.73781869	1.904216931	1.265176037	1.280702074	0.585492972	0.857415602	0.434449362	0.695013527	0.238723225	-0.41214962	-0.008953197	-0.006979964	0.149974783	1.383963822	1.26757653	1.331171826	0.920071392	0.989817002	0.691664292	-0.133796719	0.251274916	0.668109491	0.211005264	0.463462129	-0.011949942	0.358376251	0.2697949	0.223177328	0.310326024	0.414906966	0.325794983	0.349849497
Glossina hytrosavirus	0.820072927	1.00221678	0.922162306	1.359166629	1.358854721	1.075196964	1.274718972	1.125228839	1.322447596	1.652536955	1.478921658	1.525713157	1.622174274	1.475317921	1.864523293	1.746907518	1.980652247	1.827412172	2.743313777	1.963221311	2.253864871	1.992732987	2.099652056	2.015405467	1.905229799	2.012162127	0.514339303	0.651745319	0.773312983	-0.049671061	0.342120299	0.285453643	0.976949095	0.702959208	1.124905864	0.463610441	0.702847329	1.212382046	1.063700419	1.046410247	0.933755236	-0.048110004	0.100216057	0.003350656	0.223442873	0.276768784	0.290542432	0.951079555	0.725899142	0.629575334	0.848077229	0.714336094	0.973770046	0.724210509	0.83633591	0.823970411	0.635360021	0.584095071	0.718609133	0.690627719
Sulfolobales Mexican fusellovirus 1	1.344530125	1.433274237	1.444138923	1.095985641	1.363581506	1.057122969	1.485428001	1.571295201	-0.080666556	0.934500097	0.676852635	0.850071114	0.385213519	0.253187033	1.932934154	2.102518694	1.245685607	1.642666932	-1.307220354	0.868286632	0.802153078	0.76707537	0.604203286	0.772259716	1.460548408	0.329275981	2.16795311	1.594383699	1.999054291	2.240944734	1.970750501	1.795977015	1.681690842	1.800826051	2.433836116	-0.045928797	-0.503475574	-0.276691764	0.486830216	0.591822106	0.611225693	0.678778051	0.661856641	0.563225837	0.163802878	0.746907742	-0.422973184	-0.222078598	-0.035277989	1.138019948	0.470386388	0.766838197	0.624010007	0.674190054	0.821878679	0.536087683	0.134213463	0.055871202	0.349515926	0.364557833
Acinetobacter virus Acj61	-0.389474037	-0.379454424	-0.531487429	0.058536716	-0.190749112	-0.579785343	-0.590690801	-0.496746476	0.649355732	0.177368296	0.27677193	0.234751361	0.449340276	0.094913961	-0.398459981	0.221536352	0.527250345	0.254326907	2.998371992	0.410565808	0.272376507	0.085478396	0.369074612	0.2624137	-1.119970116	-0.313238356	-1.581282722	-1.264456015	-1.421042182	-2.117838643	-1.453457711	-1.334392283	-2.445320019	-1.888458306	-1.65838685	-1.397945225	-0.955124314	-0.487226056	-0.895516185	-0.637156154	-0.736370869	-0.854321245	-1.292682089	-1.067807477	-0.693801189	-0.781556268	-0.522461043	-0.148997966	-0.602270402	-0.976817192	-0.637425733	-0.818139469	0.007487276	-0.344440949	-0.461754925	-0.439825153	-0.053122058	-0.418312039	-0.516211006	-0.431777351
CrAss-like virus sp.	-0.970607901	-0.708983271	-0.597677627	-0.927806584	-0.501675179	-0.408045384	-0.008508017	-0.33317	-2.124259663	-0.729998015	-1.179708422	-1.011350669	-1.301240028	-1.024265881	0.645825527	-0.37745511	-0.703279235	-0.424498149	-3.847875777	-0.650380379	-0.059945099	-0.161968599	-0.463795152	-0.385771987	1.635037162	0.337219878	0.532905846	0.125011115	0.621013696	0.541305708	0.05851588	-0.235953766	2.315888839	1.153244953	1.56339922	-0.343957198	-0.764146466	-0.675990626	-0.104545063	-0.47828319	-0.487159053	-1.672045637	-0.83242332	-1.318190291	-1.651406499	-1.30656809	-1.949184279	-1.518874278	-1.129963496	-0.43472354	-0.784737299	-0.637135411	-1.507689527	-1.333580584	-0.97049168	-1.089231911	-2.012625515	-1.572957415	-1.171155625	-1.329202784
Phthorimaea operculella granulovirus	0.314569042	0.348415386	0.356596431	0.06928646	0.247039272	0.029899103	0.315711053	0.418103334	-0.756465141	-0.096651989	-0.249149775	-0.131079319	-0.479936911	-0.587403121	0.562443249	0.774397379	0.111897711	0.414323594	-1.720392325	-0.182208613	-0.300873757	-0.296668184	-0.411985027	-0.279437509	0.12558384	-0.671382634	0.877557958	0.448669592	0.716713918	0.985943752	0.773340186	0.663554929	0.336779989	0.533682655	0.956327158	-0.771153019	-1.118890548	-0.996840356	-0.43096323	-0.322638924	-0.296621811	-0.072213244	-0.156401158	-0.190495523	-0.497570682	-0.074466677	-0.937464819	-0.872705743	-0.733706906	0.135816966	-0.377254748	-0.145514105	-0.220640104	-0.170577355	-0.091476988	-0.303360122	-0.533970111	-0.619714427	-0.432378302	-0.407359572
Torque teno virus 3	0.053982002	0.044091268	0.087817052	-0.327438965	-0.141845516	-0.217833901	-0.011911158	0.094157464	-1.107975558	-0.546509623	-0.654831404	-0.557672107	-0.905638728	-0.920394231	0.052540461	0.175997903	-0.481719873	-0.154054124	-2.542337972	-0.715148658	-0.858747377	-0.77621152	-0.935023943	-0.789633022	-0.234679329	-1.048801695	0.759353701	0.320404712	0.546408392	1.04035669	0.688341805	0.5900089	0.315186018	0.466318219	0.711482428	-0.670231598	-1.077323882	-1.140114664	-0.568891707	-0.506837204	-0.448126938	-0.037248318	-0.081639627	-0.120843763	-0.480096149	-0.11567919	-0.894345831	-1.02470278	-0.798391299	0.018054375	-0.512784571	-0.26216679	-0.490182165	-0.348891832	-0.288433585	-0.4706948	-0.681594309	-0.695768838	-0.549577353	-0.533602059
Klebsiella virus Matisse	0.243505092	0.177859766	0.204374819	-0.209223724	-0.081804689	-0.195999359	-0.035896557	0.157610793	-0.874481775	-0.506940545	-0.540356565	-0.461149149	-0.808732925	-0.888166699	-0.092645971	0.272906848	-0.431366393	-0.106207585	-2.178351091	-0.71919223	-1.012537397	-0.896583846	-1.017674284	-0.863755566	-0.645664501	-1.326678256	0.748548175	0.319423283	0.481304799	1.071067637	0.764620822	0.711142455	-0.155660715	0.270511428	0.47791975	-0.753785636	-1.141108375	-1.227143947	-0.677053563	-0.523106675	-0.453354204	0.274756267	0.042873613	0.100116503	-0.249695873	0.107637152	-0.674403753	-0.912158059	-0.731732355	0.082431596	-0.466740562	-0.204092755	-0.281922155	-0.155997468	-0.161356041	-0.35147353	-0.404068572	-0.516605209	-0.428591253	-0.375930616
crAssphage cr128_1	1.030003302	0.418481486	0.260680437	1.12642133	0.059901373	0.4903213	-0.851536001	-0.420688261	4.765924695	0.945496598	2.099845439	1.557701717	2.670523885	2.498746148	-2.77443134	-1.400542613	0.305179402	-0.664833337	8.718912062	0.79912479	-0.132050747	0.183541159	0.8549303	0.513743588	-3.608705581	0.063486656	-2.419320046	-0.977707023	-2.403945396	-2.31859518	-1.31913796	-0.575954639	-4.625924733	-2.89891418	-4.656343701	2.299167608	3.544269932	2.862937823	0.887150912	1.31355962	1.341750223	3.462599032	2.129778982	3.06975842	4.098240055	2.667316539	5.419422625	4.18928099	3.395141595	0.586812845	2.049820892	1.426523816	2.888031504	2.640660481	1.811487087	2.431836817	4.540433513	3.999868059	2.881712425	3.114615178
Klebsiella phage KPV15	2.452221672	2.091861359	2.310661104	1.27226302	1.344908987	2.107067863	1.672504646	1.894173485	1.247413628	0.690493209	1.01035418	0.913844977	0.706341112	1.167758043	0.406059525	0.309211933	-0.136516332	0.2158958	-2.324134911	0.009559838	-0.461592031	0.121758368	-0.185111089	-0.003866792	0.741684291	0.340398688	3.452985856	3.136656295	2.918791133	4.749906667	3.74696626	3.825846057	3.068778006	3.30192242	2.303954792	3.810238174	3.225803816	2.015729426	2.36705974	2.261696877	2.515489465	4.399974367	4.329780384	4.42227122	3.895312579	3.747905764	3.782642735	2.339048723	2.944202801	3.115833198	2.652658041	2.940930801	2.09185364	2.715528166	2.537187689	2.595294592	2.829497995	3.109883169	2.857624923	2.868103023
