	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Geminocystis herdmanii	-0.654059006	-0.557081733	-0.263648407	-1.02389641	-0.785680387	-0.376619096	-1.543980655	-0.072857132	-0.280616687	-0.747867764	-0.129844556	-1.007418168	-1.324752087	-0.686416948	-0.695653312	-0.907849818	-0.744254513	-0.244720889	-0.657009036	-0.37177212	0.337725313	-0.895948365	-0.584464126	-0.770889104	-0.67547513	-1.016110882	-0.515739315	-1.039345007	-0.700341165	-0.615890696	-0.570077171	-1.140652772	-0.280797146	-0.702127602	-1.082698049	-0.979097287	-0.978775576	-1.020553522	-0.320071874	0	-0.285441316	-0.035413784	0	-0.475865896	-0.52712629	-0.279786371	-0.761274835	-0.462645054	-0.906615655	-0.464493759	-0.686418995	0	-0.698717657	-0.620267373	-0.831723233	-0.917701665	-0.871598256	0.060138496	-0.866994106	-1.410678118
Streptococcus sanguinis	2.855761023	2.822232945	2.313239168	3.140781791	2.676611984	2.427702817	3.132316121	1.518740875	2.813851567	3.53641046	3.295537732	3.300203126	2.369470172	2.919029987	2.891874858	3.273469083	3.411851845	2.916523644	2.916845344	2.543806372	2.450309334	2.68955434	2.595316088	2.913958545	2.407154981	2.813253516	3.273195912	1.642650371	2.988436461	2.994730759	3.215608891	3.461213306	2.561872561	3.033444776	3.062612836	3.268511049	3.062054323	3.199099524	2.318640843	0	2.244558459	2.330219858	0	2.919905603	1.247638703	1.842307936	2.787123261	2.485049042	2.798706152	2.713357918	2.923447411	0	2.92498047	2.877416722	1.753085674	2.937606435	3.278758016	2.445122069	2.384899633	3.317452097
Salmonella enterica	1.814479794	1.81770176	1.193681428	2.06424525	1.534805036	1.344490084	2.242996083	0.369584527	1.978515821	2.743805699	2.541155547	2.438936844	1.239212486	1.858328349	1.83190885	2.235044967	2.471807378	2.051976258	1.858241613	1.54943311	1.691666115	1.570461576	1.484030867	1.729714197	1.074953216	1.858094097	2.424728673	0.44008521	1.985117008	1.825682764	2.19184974	2.473421809	1.536910712	2.218320059	1.863612751	2.313452367	2.270860449	2.235250457	1.285177848	0	1.197340883	1.283680605	0	1.837520167	-0.100755116	1.16223444	1.513315284	1.692713126	1.490465692	1.76269139	1.873822532	0	1.871686184	1.760147163	0.825457288	2.008303945	2.267059331	1.569524937	1.459154459	2.42619803
Cutibacterium acnes	1.592403863	1.492168387	1.368504501	1.870576655	1.681040084	1.378346942	1.525420655	0.89438411	1.136447119	1.553191272	1.283771374	1.548846088	1.488090065	1.67421032	1.655414939	1.875525929	1.762675343	1.259490159	1.666709787	1.278655217	0.710574229	1.651106026	1.55568675	1.919477955	1.873785468	1.415334323	1.477254856	1.137390098	1.607215215	1.933488941	1.788842258	1.911987084	1.345552565	1.265110127	2.064356833	1.711701577	1.252751753	1.686027957	1.205000952	0	1.18175002	1.222005913	0	1.705367083	1.136596148	0.192392601	2.012869128	0.846364347	2.096863757	1.308992206	1.655147766	0	1.664065566	1.754638733	0.654735158	1.440187816	1.824096095	0.954306767	1.067585033	1.642892025
Streptococcus salivarius	1.583094049	1.62791095	2.015479254	1.284190268	1.532474418	1.851754726	0.309701907	2.028295978	1.673706657	1.270240512	1.88735519	0.985567666	0.73631941	1.598611267	1.576524102	1.408139333	1.487813575	1.804678178	1.631028009	1.743623887	2.181605032	1.360478562	1.700998318	1.707495107	1.907307949	0.969071728	1.564406464	0.964223603	1.505550222	1.901484178	1.782083888	1.096510019	1.916222518	1.191421766	1.397543036	1.172924288	0.816126634	1.112507008	1.797844779	0	1.838763587	2.177879086	0	1.898095177	1.716691978	1.06694579	1.830893939	1.258667628	1.714484282	1.611257273	1.580983309	0	1.572706607	1.764982508	0.781800546	1.089353665	1.40847622	2.038721807	0.954170577	0.54297441
Sphingomonas paucimobilis	1.641417044	1.550958242	1.448770736	1.885122724	1.711168966	1.448125092	1.47593511	0.974679186	1.224541441	1.60678571	1.402025257	1.566468426	1.446204835	1.721554938	1.700911019	1.906855083	1.815433367	1.355177373	1.717471281	1.350934819	0.859204916	1.668343457	1.606508136	1.958931349	1.912182085	1.419469066	1.551347904	1.109168547	1.653996897	1.99311204	1.857782381	1.920774367	1.429508224	1.309931413	2.071859074	1.73322992	1.265661084	1.700826458	1.277532814	0	1.256350753	1.328297474	0	1.777693299	1.159201968	0.250120887	2.051159628	0.903047708	2.11908614	1.374587878	1.702469232	0	1.710071897	1.80949092	0.649484527	1.458953304	1.859381437	1.072252252	1.076338638	1.614356766
Porphyromonas asaccharolytica	-0.396643675	-0.459564891	-0.13604686	-0.367738332	-0.084471985	-0.185931552	-0.160991786	0.428527933	-0.760212664	-1.095056297	-1.325329042	-0.675318886	0.518455986	-0.413785654	-0.385829035	-0.584478432	-0.880716237	-0.847766447	-0.434099565	-0.354182136	-0.916120451	-0.040052402	-0.17087458	-0.263579632	0.212298151	-0.189267369	-0.984095976	0.997182914	-0.506160502	-0.44415671	-0.768637303	-0.629597116	-0.406508448	-0.68424028	-0.173035287	-0.596555804	-0.544838795	-0.503819187	-0.169982645	0	-0.118741521	-0.355451289	0	-0.536116525	1.104465345	-0.059078522	-0.094283471	-0.396652714	0.016549631	-0.468776941	-0.426326571	0	-0.417127254	-0.38057554	0.562039109	-0.377379365	-0.632748051	-0.642311572	0.051912568	-0.403019366
Paracoccus sp. MA	-0.553001276	-0.608581283	-0.572996422	-0.447132091	-0.48113534	-0.604247015	-0.818905337	-0.791375313	-0.835523316	-0.704946619	-0.762810088	-0.72262597	-0.690985129	-0.504050311	-0.516616352	-0.440989943	-0.519637621	-0.746778579	-0.50408789	-0.699766916	-0.998531338	-0.527960681	-0.529330026	-0.325652603	-0.266806058	-0.756311718	-0.680636784	-0.803703476	-0.570212752	-0.296954968	-0.435916741	-0.485386968	-0.632122046	-0.847981528	-0.293439455	-0.583551574	-0.915252511	-0.601302021	-0.714112817	0	-0.71456677	-0.647622685	0	-0.439054162	-0.646096379	-1.435271696	-0.230651123	-1.050299262	-0.193933057	-0.719208529	-0.519831689	0	-0.515395158	-0.421485679	-1.162261331	-0.736498056	-0.47550317	-0.858326113	-0.937957339	-0.728357262
Diaphorobacter sp. JS3050	0.791261834	0.818333026	1.470350616	0.417547412	0.857080992	1.226616634	-0.862830599	1.677853556	0.727493681	0.074290895	0.80234127	-0.144573421	-0.004285188	0.812476826	0.79213988	0.499482911	0.477551148	0.88167503	0.848406163	1.001415473	1.322673594	0.636931503	1.041913641	1.044892174	1.508672199	0.01966409	0.5162065	0.473170364	0.6414866	1.238060174	0.929366314	0.057812802	1.22248073	0.108900471	0.669591286	0.15825561	-0.349531734	0.110917571	1.144794025	0	1.219328933	1.590918957	0	1.175537404	1.547524651	0.10061336	1.29056773	0.282232855	1.183734131	0.775848999	0.781736058	0	0.775032718	1.061249252	0.00386612	0.109681677	0.475803209	1.259789143	0.067500483	-0.631747565
Methanoplanus limicola	-0.892536731	-0.861519979	-0.719864087	-1.00941123	-0.827125871	-0.723663569	-0.613911261	-0.241436624	-0.765004155	-1.08106378	-1.079771619	-0.894151207	-0.401089403	-0.948509342	-0.924981897	-1.105122109	-1.153615032	-0.884417621	-0.956019228	-0.712304561	-0.631651154	-0.772598026	-0.804845153	-1.053586679	-0.880599782	-0.639876245	-1.032840939	-0.051625585	-0.930754185	-1.149822776	-1.165834143	-1.105568752	-0.791674728	-0.75484293	-1.068511652	-0.984548504	-0.651878979	-0.928632832	-0.610181301	0	-0.582501408	-0.73229406	0	-1.047041726	-0.104085381	0.11529789	-1.062215449	-0.413872908	-1.058096973	-0.754868805	-0.93990082	0	-0.941025862	-1.004764088	0.099228253	-0.736155857	-1.09215487	-0.659904236	-0.34703018	-0.798143798
Ignicoccus hospitalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter_A smithii	5.682069542	5.394541804	4.254832215	6.803177694	5.592529452	4.472632046	6.031209831	1.854092615	4.560200131	6.726835289	5.686449678	6.338134339	4.67077781	5.97372625	5.886940314	7.02952833	6.993914005	5.007418389	5.953219954	4.439592422	2.961179983	5.551124673	5.16397925	6.52814952	5.57853423	5.227964839	6.107599686	2.656632777	5.937525475	6.686215268	6.72170564	7.436428081	4.617600841	5.236296807	7.117659164	6.653409652	5.26846779	6.4813432	3.897518475	0	3.718828122	3.940839308	0	6.035895001	1.974543448	0.806512594	6.527328754	3.365500444	6.744465999	4.79378868	5.938396749	0	5.962118875	6.085139407	1.734894373	5.485482635	6.919936093	3.518762821	3.721114197	6.598888069
Methanonatronarchaeum sp. AMET6-2	-0.146643202	-0.138277973	1.135855617	-0.753228595	0.140817434	0.698703189	-2.794389995	1.793181197	-0.466253865	-1.743517885	-0.654730191	-1.875527813	-0.971612342	-0.11928904	-0.1379173	-0.736843973	-0.942559193	-0.254310674	-0.069795898	0.224488313	0.438055098	-0.204739454	0.400636525	0.361000778	1.405896895	-1.329407985	-0.939998807	0.092825012	-0.459600751	0.584317826	-0.119215446	-1.502706662	0.568004798	-1.460470997	-0.216245713	-1.319719191	-2.152797836	-1.347980875	0.567748078	0	0.720658284	1.213060124	0	0.422589749	1.957505426	-1.143668894	0.869609374	-1.015606856	0.754071188	-0.218291021	-0.178061465	0	-0.183837833	0.319236555	-0.948647997	-1.28345584	-0.804639874	0.490552669	-1.120320346	-2.539607675
Methanosphaera sp900322125	2.616435874	2.450161656	2.122769618	3.148634555	2.794657682	2.211430272	3.171140899	1.520507312	1.907726052	2.645286812	1.949142546	2.820859164	2.979314563	2.71975308	2.707495702	3.072975558	2.848802297	2.004229915	2.691510386	2.110158866	1.057106249	2.842091163	2.530892512	3.019262409	2.906445204	2.694014078	2.407926528	2.433082288	2.663762205	2.92544358	2.752077367	3.271146578	2.112525826	2.328557822	3.379546596	2.961316463	2.509246209	2.964871011	2.00074197	0	1.953864468	1.819502027	0	2.603769538	2.074516257	0.975419361	3.10449621	1.748035321	3.288266595	2.205181218	2.700870035	0	2.718123332	2.752402493	1.814039117	2.650439544	2.997142825	1.490167645	2.246779435	3.194358578
