	Aspergillus oryzae	Aspergillus chevalieri	Fusarium poae	Saccharomycodes ludwigii	Malassezia restricta	Fusarium verticillioides	Aspergillus fumigatus	Candida albicans	Fusarium pseudograminearum	Scheffersomyces stipitis	Brettanomyces bruxellensis	Fusarium fujikuroi	Candida dubliniensis	Kluyveromyces lactis	Fusarium venenatum	Thermothelomyces thermophilus	Kazachstania africana	Naumovozyma dairenensis	Pyricularia oryzae	Yarrowia lipolytica	Colletotrichum higginsianum	Lachancea thermotolerans	Saccharomyces eubayanus	Fusarium graminearum	Candida orthopsilosis	Torulaspora delbrueckii	Schizosaccharomyces pombe	Cercospora beticola	Rhizoctonia solani	Sporisorium graminicola	Pochonia chlamydosporia	Cryptococcus neoformans	Zymoseptoria tritici	Naumovozyma castellii	Thermothielavioides terrestris	Aspergillus luchuensis	[Candida] glabrata	Tetrapisispora blattae	Saccharomyces paradoxus	Zygotorulaspora mrakii	Sugiyamaella lignohabitans	Kluyveromyces marxianus	Tetrapisispora phaffii	Pyricularia pennisetigena	Fusarium oxysporum	Pyricularia grisea	Aspergillus puulaauensis	Talaromyces rugulosus	Fusarium musae	Zygosaccharomyces rouxii	Debaryomyces hansenii	Pichia kudriavzevii	Botrytis cinerea	Ustilaginoidea virens	Saccharomyces cerevisiae	Marasmius oreades	Eremothecium cymbalariae	Neurospora crassa	Aspergillus flavus	Drechmeria coniospora
Paenibacillus sp. 32O-W	-1.802064647	-1.728964371	-1.802539036	-1.783962963	-1.949347332	-1.959599729	-1.786060648	-1.55585914	-1.59417265	-1.658553917	-1.499646788	-1.778783895	-1.683797182	-1.789966952	-1.486633658	-1.589025926	-1.555585113	-1.722498107	-1.577919389	-1.764893416	-1.515091298	-1.362189578	-1.593380535	-1.74408986	-1.5978223	-1.944125325	-1.500316084	-1.823913891	-1.832289963	-1.766158301	-1.658766657	-1.536549466	-1.828533749	-1.347393395	-1.593418609	-1.581757956	-1.664624953	-1.367129642	-1.891091024	-1.648672865	-1.848998714	-1.665455673	-1.591738402	-1.914284165	-1.538791264	-1.447603588	-1.649144924	-1.38213735	-1.58087363	-1.557980227	-1.587207092	-1.630518541	-1.616646995	-1.547121599	-1.730718476	-1.556364266	-1.632737861	-1.783934306	-1.917420952	-1.745629301
Oceanispirochaeta crateris	-0.987822605	-0.994430626	-1.072474223	-1.042316075	-1.504307583	-0.978252374	-1.04968784	-0.658568365	-0.390948826	-0.758638388	-0.275919523	-0.809824766	-0.961327282	-0.7386112	-0.42010076	-0.216526501	-0.277849161	-0.622138624	-0.485964548	-0.839837305	-0.487446058	-0.134500506	-0.606283768	-0.578464223	-0.69507039	-1.243715208	-0.527119397	-0.60109091	-0.976127501	-1.084782611	-0.712140078	-0.609078476	-1.26839515	0.451637213	-0.152469865	-0.588402159	-0.737662915	-0.107400453	-0.881357673	-0.766211149	-1.015931746	-0.708142552	-0.603864507	-1.09592519	-0.555965608	-0.257783423	-0.983998465	-0.003174583	-0.749194316	-0.755210569	-0.334326513	-0.379300165	-0.524053356	-0.432505305	-0.598548484	-0.741702025	-0.646091748	-1.054299381	-1.119910501	-0.791768609
Tamlana carrageenivorans	-0.503788384	-0.64384454	-0.632393918	-0.615781923	-1.150321636	-0.164502307	-0.622560016	-0.40232792	0.173085573	-0.37833883	0.153529814	-0.228450218	-0.682337808	-0.10458144	-0.109888193	0.439153432	0.268316573	-0.020144868	-0.044017012	-0.320032025	-0.187441212	0.145351715	-0.2234949	0.081035335	-0.388203611	-0.679926295	-0.267476402	0.210332883	-0.426887067	-0.729199291	-0.298461788	-0.323516635	-0.960736813	1.191709416	0.54339434	-0.195217554	-0.325800237	0.177064537	-0.156579976	-0.414129488	-0.44350828	-0.269553649	-0.243369953	-0.46871045	-0.257705807	0.121269292	-0.792083584	0.424950117	-0.523024196	-0.538386219	0.261028011	0.257312676	-0.062978256	-0.038285276	0.101481212	-0.53961285	-0.239571715	-0.649464295	-0.51038293	-0.261467761
Pedobacter schmidteae	-1.125172328	-1.144105975	-1.218791411	-1.187400797	-1.709471456	-1.076160915	-1.194923115	-0.789080164	-0.45706036	-0.885089507	-0.353073829	-0.918534043	-1.117328024	-0.839281185	-0.520679357	-0.262357942	-0.340806096	-0.713090436	-0.577857093	-0.960253762	-0.598420548	-0.212273034	-0.715408778	-0.662613534	-0.824226117	-1.397182585	-0.64238206	-0.668338212	-1.105839561	-1.242228375	-0.831168779	-0.725862062	-1.454185406	0.487410184	-0.191208173	-0.690926964	-0.857916348	-0.187137122	-0.985350784	-0.897177622	-1.142790523	-0.822347521	-0.719343571	-1.226795062	-0.672616855	-0.331445182	-1.15197297	-0.050693548	-0.893484634	-0.893244439	-0.39144508	-0.437912651	-0.622748408	-0.530000802	-0.664328281	-0.884288808	-0.760906712	-1.20525822	-1.256032614	-0.904136955
Caproicibacterium amylolyticum	0.357068724	0.305581319	0.305443286	0.310254458	0.210871621	0.437943402	0.306214197	0.376945901	0.504426573	0.38507201	0.530845238	0.424157552	0.302167326	0.477390058	0.446108693	0.603365799	0.55465943	0.488357228	0.462758274	0.409521829	0.43960986	0.51542611	0.412697259	0.532144521	0.384725612	0.315925636	0.400195358	0.556450668	0.380639091	0.282623592	0.409150878	0.370384036	0.24893661	0.755628139	0.646394218	0.402611621	0.395469045	0.547067368	0.464245959	0.378864944	0.357700947	0.408939303	0.426590392	0.363456331	0.416707276	0.487950618	0.274007093	0.582159405	0.35436272	0.313741744	0.526646715	0.534409408	0.48268655	0.488766722	0.464497015	0.332787111	0.429977363	0.31221545	0.35732809	0.413698758
Geminocystis herdmanii	-1.05695375	-1.173016212	-0.988690117	-1.018350757	-1.31824115	-0.461479132	-1.001729349	-1.452926559	-0.845673684	-1.243483839	-1.305815447	-0.896951164	-1.34262321	-0.970359446	-1.364437556	-0.929747106	-1.070835007	-0.97167084	-1.12894888	-1.056818658	-1.459625996	-1.4912651	-1.182332043	-1.003073343	-1.390192231	-0.906369213	-1.395338142	-0.683440609	-0.975651794	-1.141943289	-1.217722549	-1.232281691	-1.3671806	-0.62488437	-0.985014026	-1.049323112	-1.174322127	-1.648201661	-0.793983822	-1.307448591	-0.803138224	-1.125093416	-1.34815788	-0.779160379	-1.420980692	-1.156153288	-1.485321432	-1.229882052	-1.544683884	-1.30994983	-0.798445959	-0.782028399	-1.261180456	-1.386327604	-0.432170214	-1.469719055	-1.280799236	-1.126060594	-0.836145923	-0.975734681
Streptococcus sanguinis	5.516847739	4.594532576	5.345829221	5.170522115	6.691971192	7.344123449	5.175038748	3.019459746	3.708925171	4.101009299	2.871037817	5.450618808	4.133905821	5.748871843	2.475513186	3.984742507	3.499278457	5.059203521	3.461750362	5.285962873	2.78203416	1.383816045	3.47744363	5.437039083	3.48131439	6.881233829	2.481139777	6.305939033	5.899160848	4.914769481	4.177133588	2.74314271	5.521884675	1.810646205	4.177920529	3.294543294	4.183238404	1.568798028	6.757922698	3.991699168	5.970327786	4.228771899	3.539359252	6.68636675	2.951374161	2.148828	3.701448469	1.756947941	3.235568262	2.813211017	3.697647555	4.181944236	3.964365977	3.264402024	4.967886765	2.887324512	3.975335238	5.196721988	6.711785762	5.072887717
Salmonella enterica	3.917194241	3.927193823	3.862740591	3.83227502	5.594292335	3.138372225	3.809310095	3.566552236	2.052181344	3.570121329	2.613523514	3.284944465	4.108823526	3.403144719	2.859286437	2.026959476	2.29038436	3.038817962	2.731678108	3.623164395	3.247789319	2.384384699	3.036378808	3.136626193	3.614890225	4.367370641	3.0933889	2.732369731	3.829528154	4.089565977	3.464339087	2.950433144	5.012257065	-0.244353788	2.092408894	2.680945077	3.412834404	2.719955645	3.526691982	3.688975507	3.549005019	3.277050138	3.397865795	3.81595421	3.317410577	2.080499174	4.329030965	1.728221111	3.959666648	3.364368192	1.862131015	2.026276231	3.201112371	3.134259397	1.848208844	3.697296991	3.438319379	4.083334112	3.979897395	3.319098367
Cutibacterium acnes	3.206001631	3.123950255	2.799976437	2.791535942	6.136959871	1.393076258	2.711918797	3.027019008	-0.037203492	2.847462628	1.672410082	2.085042142	3.646693562	2.630684015	1.847083521	0.435086546	0.890758534	1.965038261	1.416754537	2.856824506	2.682011372	1.353868609	1.854540398	2.38140508	3.089030447	3.748742504	2.140136336	1.352181698	3.050052553	3.309162929	2.716076763	1.554609637	5.214865885	-3.684094031	0.811347843	0.970118344	2.511041544	2.318718964	2.626661105	3.120406668	2.214926556	2.248767782	2.801274004	2.737522945	2.679574004	0.27734286	4.108705823	0.077417787	3.797951103	2.201029962	-0.365035653	-0.025560794	2.568216531	2.596582788	-1.056064816	3.109273403	2.824005707	3.408894008	3.09372209	2.192952567
Streptococcus salivarius	3.506740755	3.168927567	3.348286049	3.255786797	5.779266121	3.266436516	3.22770197	2.258582314	0.798061292	2.636538703	1.193118518	2.785684049	3.223912291	3.064154048	1.289041187	0.931008501	1.042521937	2.408298873	1.485261903	3.118202931	1.84603771	0.4071118	1.814988921	2.682326804	2.47796887	4.471974146	1.535007121	2.518304636	3.549859833	3.453020093	2.55419493	1.434746891	4.723039471	-2.37726409	1.103980012	1.326957551	2.486690198	0.887393224	3.543285315	2.73460868	3.227632265	2.351047534	2.271323911	3.789195003	1.970272808	0.289457802	3.316773147	-0.192654635	2.77931881	1.90618692	0.585459656	0.949082648	2.223418158	1.910811477	0.957214302	2.337056799	2.469658155	3.562044853	3.986753847	2.690918562
