Node	Type	Mean_counts
Liberibacter	Bacteria|Proteobacteria	
Lichenihabitans	Bacteria|Proteobacteria	0.001
Limnohabitans	Bacteria|Proteobacteria	0.001
Limosilactobacillus	Bacteria|Firmicutes	
Luteibacter	Bacteria|Proteobacteria	0.001
Luteimonas	Bacteria|Proteobacteria	0.001
Lysinibacillus	Bacteria|Firmicutes	
Lysobacter	Bacteria|Proteobacteria	
Macrococcus	Bacteria|Firmicutes	
Malaciobacter	Bacteria|Proteobacteria	0.001
Mannheimia	Bacteria|Proteobacteria	0.001
Marinobacter	Bacteria|Proteobacteria	
Massilia	Bacteria|Proteobacteria	
Mesoflavibacter	Bacteria|Bacteroidetes	0.001
Mesorhizobium	Bacteria|Proteobacteria	
Metabacillus	Bacteria|Firmicutes	
Methanospirillum	Archaea|Euryarchaeota	
Methanothrix	Archaea|Euryarchaeota	0.001
Methylobacterium	Bacteria|Proteobacteria	
Methylococcus	Bacteria|Proteobacteria	0.001
Methylocystis	Bacteria|Proteobacteria	0.001
Methylophaga	Bacteria|Proteobacteria	0.001
Microbacterium	Bacteria|Actinobacteria	
Microbulbifer	Bacteria|Proteobacteria	0.001
Microcella	Bacteria|Actinobacteria	0.001
Microlunatus	Bacteria|Actinobacteria	0.001
Micromonospora	Bacteria|Actinobacteria	
Microvirga	Bacteria|Proteobacteria	0.001
Moraxella	Bacteria|Proteobacteria	0.001
Mucilaginibacter	Bacteria|Bacteroidetes	
Muricauda	Bacteria|Bacteroidetes	0.001
Mycobacterium	Bacteria|Actinobacteria	
Mycolicibacter	Bacteria|Actinobacteria	0.001
Mycolicibacterium	Bacteria|Actinobacteria	
Mycoplasma	Bacteria|Tenericutes	0.001
Mycoplasmopsis	Bacteria|Tenericutes	
Natronorubrum	Archaea|Euryarchaeota	0.001
Neisseria	Bacteria|Proteobacteria	
Nitrosococcus	Bacteria|Proteobacteria	
Nitrosopumilus	Archaea|Thaumarchaeota	0.001
Nitrososphaera	Archaea|Thaumarchaeota	0.001
Nitrosospira	Bacteria|Proteobacteria	0.001
Nocardia	Bacteria|Actinobacteria	
Nocardioides	Bacteria|Actinobacteria	
Nostoc	Bacteria|Cyanobacteria	0.001
Octadecabacter	Bacteria|Proteobacteria	0.001
Oenococcus	Bacteria|Firmicutes	0.001
Paenibacillus	Bacteria|Firmicutes	
Pandoraea	Bacteria|Proteobacteria	0.001
Pantoea	Bacteria|Proteobacteria	
Paraburkholderia	Bacteria|Proteobacteria	
Paracoccus	Bacteria|Proteobacteria	
Parasphingopyxis	Bacteria|Proteobacteria	0.001
Pasteurella	Bacteria|Proteobacteria	0.001
Pectobacterium	Bacteria|Proteobacteria	
Pediococcus	Bacteria|Firmicutes	0.001
Phytobacter	Bacteria|Proteobacteria	
Pirellula	Bacteria|Planctomycetes	0.001
Planctomyces	Bacteria|Planctomycetes	0.001
Planococcus	Bacteria|Firmicutes	
Plantibacter	Bacteria|Actinobacteria	0.001
Polaribacter	Bacteria|Bacteroidetes	
Polynucleobacter	Bacteria|Proteobacteria	0.001
Porphyrobacter	Bacteria|Proteobacteria	0.001
Priestia	Bacteria|Firmicutes	
Prochlorococcus	Bacteria|Cyanobacteria	0.001
