Node	Type	Mean_counts
Lysinibacillus	Bacteria|Firmicutes	
Lysobacter	Bacteria|Proteobacteria	
Macrococcus	Bacteria|Firmicutes	
Malaciobacter	Bacteria|Proteobacteria	
Mannheimia	Bacteria|Proteobacteria	
Marinobacter	Bacteria|Proteobacteria	0.001
Massilia	Bacteria|Proteobacteria	
Mesoflavibacter	Bacteria|Bacteroidetes	
Mesorhizobium	Bacteria|Proteobacteria	
Metabacillus	Bacteria|Firmicutes	
Methanospirillum	Archaea|Euryarchaeota	0.001
Methanothrix	Archaea|Euryarchaeota	
Methylobacterium	Bacteria|Proteobacteria	
Methylococcus	Bacteria|Proteobacteria	
Methylocystis	Bacteria|Proteobacteria	
Methylophaga	Bacteria|Proteobacteria	
Microbacterium	Bacteria|Actinobacteria	
Microbulbifer	Bacteria|Proteobacteria	
Microcella	Bacteria|Actinobacteria	
Microlunatus	Bacteria|Actinobacteria	
Micromonospora	Bacteria|Actinobacteria	0.001
Microvirga	Bacteria|Proteobacteria	
Moraxella	Bacteria|Proteobacteria	
Mucilaginibacter	Bacteria|Bacteroidetes	
Muricauda	Bacteria|Bacteroidetes	
Mycobacterium	Bacteria|Actinobacteria	
Mycolicibacter	Bacteria|Actinobacteria	
Mycolicibacterium	Bacteria|Actinobacteria	0.001
Mycoplasma	Bacteria|Tenericutes	
Mycoplasmopsis	Bacteria|Tenericutes	
Natronorubrum	Archaea|Euryarchaeota	
Neisseria	Bacteria|Proteobacteria	
Nitrosococcus	Bacteria|Proteobacteria	
Nitrosopumilus	Archaea|Thaumarchaeota	
Nitrososphaera	Archaea|Thaumarchaeota	
Nitrosospira	Bacteria|Proteobacteria	0.001
Nocardia	Bacteria|Actinobacteria	0.001
Nocardioides	Bacteria|Actinobacteria	
Nostoc	Bacteria|Cyanobacteria	
Octadecabacter	Bacteria|Proteobacteria	
Oenococcus	Bacteria|Firmicutes	
Paenibacillus	Bacteria|Firmicutes	
Pandoraea	Bacteria|Proteobacteria	
Pantoea	Bacteria|Proteobacteria	
Paraburkholderia	Bacteria|Proteobacteria	0.001
Paracoccus	Bacteria|Proteobacteria	
Parasphingopyxis	Bacteria|Proteobacteria	
Pasteurella	Bacteria|Proteobacteria	
Pectobacterium	Bacteria|Proteobacteria	0.001
Pediococcus	Bacteria|Firmicutes	
Phytobacter	Bacteria|Proteobacteria	
Pirellula	Bacteria|Planctomycetes	
Planctomyces	Bacteria|Planctomycetes	
Planococcus	Bacteria|Firmicutes	
Plantibacter	Bacteria|Actinobacteria	
Polaribacter	Bacteria|Bacteroidetes	
Polynucleobacter	Bacteria|Proteobacteria	
Porphyrobacter	Bacteria|Proteobacteria	
Priestia	Bacteria|Firmicutes	
Prochlorococcus	Bacteria|Cyanobacteria	
Proteus	Bacteria|Proteobacteria	
Providencia	Bacteria|Proteobacteria	
Pseudarthrobacter	Bacteria|Actinobacteria	
Pseudoalteromonas	Bacteria|Proteobacteria	
Pseudomonas	Bacteria|Proteobacteria	
Pseudovibrio	Bacteria|Proteobacteria	
Pseudoxanthomonas	Bacteria|Proteobacteria	
Psychrobacter	Bacteria|Proteobacteria	
Raoultella	Bacteria|Proteobacteria	
Rhizobium	Bacteria|Proteobacteria	
Rhodobacter	Bacteria|Proteobacteria	
Rhodococcus	Bacteria|Actinobacteria	0.001
Rhodoluna	Bacteria|Actinobacteria	
Roseiflexus	Bacteria|Chloroflexi	
Roseivivax	Bacteria|Proteobacteria	
Roseolovirus	Viruses|Peploviricota	
Rothia	Bacteria|Actinobacteria	
Ruegeria	Bacteria|Proteobacteria	
Sepunavirus	Viruses|Uroviricota	
Serinicoccus	Bacteria|Actinobacteria	
Serratia	Bacteria|Proteobacteria	
Shewanella	Bacteria|Proteobacteria	
Shigella	Bacteria|Proteobacteria	
Shinella	Bacteria|Proteobacteria	
Skermanella	Bacteria|Proteobacteria	
Sphingobacterium	Bacteria|Bacteroidetes	
Sphingobium	Bacteria|Proteobacteria	
Sphingomonas	Bacteria|Proteobacteria	
Sphingosinicella	Bacteria|Proteobacteria	
Sphingosinithalassobacter	Bacteria|Proteobacteria	
Spiribacter	Bacteria|Proteobacteria	
Spiroplasma	Bacteria|Tenericutes	
Spirosoma	Bacteria|Bacteroidetes	
Sporosarcina	Bacteria|Firmicutes	
Staphylococcus	Bacteria|Firmicutes	
Staphylothermus	Archaea|Crenarchaeota	0.001
Stappia	Bacteria|Proteobacteria	
Stenotrophomonas	Bacteria|Proteobacteria	
Stieleria	Bacteria|Planctomycetes	
Streptococcus	Bacteria|Firmicutes	
Streptomyces	Bacteria|Actinobacteria	
Sulfolobus	Archaea|Crenarchaeota	
Sulfurimonas	Bacteria|Proteobacteria	
Sulfurospirillum	Bacteria|Proteobacteria	
Synechocystis	Bacteria|Cyanobacteria	
Tardiphaga	Bacteria|Proteobacteria	
Tetragenococcus	Bacteria|Firmicutes	
Thalassospira	Bacteria|Proteobacteria	
Thermoanaerobacter	Bacteria|Firmicutes	
Thermomonas	Bacteria|Proteobacteria	
Thermus	Bacteria|Deinococcus-Thermus	
Thiohalobacter	Bacteria|Proteobacteria	
Thiomonas	Bacteria|Proteobacteria	
Tomitella	Bacteria|Actinobacteria	
Treponema	Bacteria|Spirochaetes	
Variovorax	Bacteria|Proteobacteria	
Vibrio	Bacteria|Proteobacteria	
Virgibacillus	Bacteria|Firmicutes	
Weissella	Bacteria|Firmicutes	
Winogradskyella	Bacteria|Bacteroidetes	
Xanthomonas	Bacteria|Proteobacteria	
Xylanimonas	Bacteria|Actinobacteria	
Yersinia	Bacteria|Proteobacteria	
Candidatus Methanomethylophilus	Archaea|Candidatus Thermoplasmatota	
Methanomassiliicoccus_A	Archaea|Candidatus Thermoplasmatota	
Ignicoccus	Archaea|Crenarchaeota	
Hyperthermus	Archaea|Crenarchaeota	
Infirmifilum	Archaea|Crenarchaeota	
Halanaeroarchaeum	Archaea|Euryarchaeota	
Halopenitus	Archaea|Euryarchaeota	
Natronococcus	Archaea|Euryarchaeota	0.001
Methanobrevibacter	Archaea|Euryarchaeota	
Methanobrevibacter_A	Archaea|Euryarchaeota	
Methanosphaera	Archaea|Euryarchaeota	
Candidatus Nitrosocaldus	Archaea|Thaumarchaeota	
Candidatus Nitrosopelagicus	Archaea|Thaumarchaeota	
Candidatus Chazhemtobacterium	Bacteria|NA	0.001
Iamia	Bacteria|Actinobacteria	
Ilumatobacter	Bacteria|Actinobacteria	
Actinobaculum	Bacteria|Actinobacteria	
Actinotignum	Bacteria|Actinobacteria	0.001
Arcanobacterium	Bacteria|Actinobacteria	0.001
Mobiluncus	Bacteria|Actinobacteria	
Schaalia	Bacteria|Actinobacteria	
Trueperella	Bacteria|Actinobacteria	
Bifidobacterium	Bacteria|Actinobacteria	
Gardnerella	Bacteria|Actinobacteria	
Lawsonella	Bacteria|Actinobacteria	
Miniimonas	Bacteria|Actinobacteria	0.001
Paraoerskovia	Bacteria|Actinobacteria	
Allobranchiibius	Bacteria|Actinobacteria	0.001
Gephyromycinifex	Bacteria|Actinobacteria	
