node1	node2	cor_value
Clostridium sp. M62/1	Yarrowia lipolytica	-0.416477065
Clostridium sp. M62/1	[Candida] glabrata	-0.32238274
Clostridium sp. M62/1	Colletotrichum higginsianum	-0.334251356
Clostridium sp. M62/1	Fusarium poae	-0.403400836
Comamonas aquatica	Zymoseptoria tritici	0.307957103
Coprococcus sp. ART55/1	Aspergillus fumigatus	-0.315197766
Dorea longicatena	Aspergillus fumigatus	-0.369031569
Dorea longicatena	Candida dubliniensis	-0.330027636
Dorea longicatena	Yarrowia lipolytica	-0.369137705
Dorea longicatena	Fusarium poae	-0.395845884
Dysosmobacter welbionis	Cercospora beticola	-0.342874949
Dysosmobacter welbionis	Aspergillus oryzae	-0.346616626
Dysosmobacter welbionis	Aspergillus puulaauensis	-0.326289436
Dysosmobacter welbionis	Candida dubliniensis	-0.349703411
Dysosmobacter welbionis	Yarrowia lipolytica	-0.336738011
Eggerthella lenta	Cercospora beticola	-0.324954199
Eggerthella lenta	Candida dubliniensis	-0.323187473
Eggerthella lenta	Kluyveromyces marxianus	-0.34817952
Eikenella corrodens	Zymoseptoria tritici	-0.320793526
Enterocloster clostridioformis	Cercospora beticola	-0.36242918
Enterocloster clostridioformis	Candida dubliniensis	-0.372940483
Enterocloster clostridioformis	Colletotrichum higginsianum	-0.310493235
Eubacterium sp. MSJ-33	Fusarium poae	-0.300233444
Filifactor alocis	Aspergillus oryzae	-0.32116673
Flavonifractor plautii	Candida dubliniensis	-0.332015066
Flintibacter sp. KGMB00164	Aspergillus oryzae	-0.315264997
Flintibacter sp. KGMB00164	Aspergillus puulaauensis	-0.301329013
Halarcobacter bivalviorum	Aspergillus oryzae	0.340270369
Halarcobacter bivalviorum	Candida dubliniensis	0.334090341
Hydrogenophilus thermoluteolus	Aspergillus fumigatus	0.303600041
Hydrogenophilus thermoluteolus	Candida dubliniensis	0.319364659
Hydrogenophilus thermoluteolus	Yarrowia lipolytica	0.355674312
Lacrimispora saccharolytica	Candida dubliniensis	-0.363147621
Lacrimispora saccharolytica	Yarrowia lipolytica	-0.347179903
Lacrimispora saccharolytica	Colletotrichum higginsianum	-0.315642445
Lacrimispora saccharolytica	Fusarium poae	-0.321392207
Leptotrichia hofstadii	Zymoseptoria tritici	0.338256456
Leptotrichia trevisanii	Zymoseptoria tritici	0.384321074
Methanobrevibacter_A smithii_A	Cercospora beticola	-0.357027872
Methanobrevibacter_A smithii_A	Aspergillus fumigatus	-0.443707788
Methanobrevibacter_A smithii_A	Aspergillus oryzae	-0.405705456
Methanobrevibacter_A smithii_A	Aspergillus puulaauensis	-0.373091532
Methanobrevibacter_A smithii_A	Candida dubliniensis	-0.40411355
Methanobrevibacter_A smithii_A	Yarrowia lipolytica	-0.408437506
Methanobrevibacter_A smithii_A	Kluyveromyces marxianus	-0.334123329
