node1	node2	cor_value
Acinetobacter	Sellimonas	0.353602372
Acinetobacter	Acutalibacter	0.38581974
Acinetobacter	Caproiciproducens	0.327109913
Acinetobacter	Dysosmobacter	0.503167577
Acinetobacter	Faecalibacterium	0.514807257
Acinetobacter	Flavonifractor	0.488657099
Acinetobacter	Oscillibacter	0.522942732
Acinetobacter	Pusillibacter	0.48362412
Acinetobacter	Ruminococcus	0.423455807
Acinetobacter	Vescimonas	0.346823312
Acinetobacter	Paeniclostridium	0.323793366
Acinetobacter	Romboutsia	0.436507989
Acinetobacter	Flintibacter	0.446826534
Acinetobacter	Intestinimonas	0.315222252
Acinetobacter	Massilistercora	0.361472229
Acinetobacter	Faecalibacillus	0.504549506
Acinetobacter	Faecalitalea	0.308241211
Acinetobacter	Longicatena	0.432618653
Acinetobacter	Phascolarctobacterium	0.313564719
Acinetobacter	Megamonas	0.386411931
Acinetobacter	Methylorubrum	0.311084883
Acinetobacter	Ralstonia	0.320116953
Acinetobacter	Comamonas	0.418820231
Acinetobacter	Diaphorobacter	0.519119762
Acinetobacter	Halarcobacter	-0.332976417
Acinetobacter	Escherichia	0.335389829
Acinetobacter	Salmonella	0.303387678
Actinomyces	Amycolatopsis	0.356455938
Actinomyces	Arthrobacter	0.400196965
Actinomyces	Bacillus	0.305601305
Actinomyces	Bordetella	0.344247472
Actinomyces	Brevibacillus	0.325589705
Actinomyces	Brevundimonas	0.32744495
Actinomyces	Campylobacter	0.446813815
Actinomyces	Chryseobacterium	0.371435566
Actinomyces	Clostridioides	0.342646299
Actinomyces	Clostridium	0.380004692
Actinomyces	Corynebacterium	0.491342884
Actinomyces	Enterobacter	0.336893928
Actinomyces	Halomonas	0.356208537
Actinomyces	Klebsiella	0.383105595
Actinomyces	Massilia	0.469505227
Actinomyces	Nocardia	0.367909794
Actinomyces	Paenibacillus	0.454209857
Actinomyces	Paracoccus	0.465453264
Actinomyces	Priestia	0.415497063
Actinomyces	Pseudomonas	0.458120359
Actinomyces	Rothia	0.401020134
Actinomyces	Sphingomonas	0.488577242
Actinomyces	Staphylococcus	0.484977297
Actinomyces	Stenotrophomonas	0.427523094
Actinomyces	Streptococcus	0.315755496
Actinomyces	Streptomyces	0.469305932
Actinomyces	Treponema	0.306120937
Actinomyces	Vibrio	0.342539298
Actinomyces	Virgibacillus	0.323757325
Actinomyces	Methanomassiliicoccus_A	0.371121385
Actinomyces	Methanobrevibacter_A	0.427013307
Actinomyces	Mobiluncus	0.363419752
Actinomyces	Schaalia	0.411775257
Actinomyces	Bifidobacterium	0.464514364
Actinomyces	Olsenella	0.458546381
Actinomyces	Parafannyhessea	0.309496288
Actinomyces	Parolsenella	0.461302719
Actinomyces	Arabiibacter	0.30287081
Actinomyces	Eggerthella	0.436473803
Actinomyces	Gordonibacter	0.457707941
Actinomyces	Raoultibacter	0.310765307
Actinomyces	Slackia	0.304748687
Actinomyces	Vagococcus	0.330095513
Actinomyces	Christensenella	0.442750917
Actinomyces	Hungatella	0.359000108
Actinomyces	Eubacterium	0.490542224
Actinomyces	Mogibacterium	0.397832448
Actinomyces	Anaerobutyricum	0.433522963
Actinomyces	Anaerostipes	0.309089876
Actinomyces	Blautia	0.435137812
Actinomyces	Butyrivibrio	0.385808161
Actinomyces	Cellulosilyticum	0.344278103
