node1	node2	cor_value
Lachnoclostridium sp. YL32	Yarrowia lipolytica	-0.319832666
Lachnoclostridium sp. YL32	Aspergillus fumigatus	-0.377024369
Lachnoclostridium sp. YL32	Aspergillus oryzae	-0.362217159
Lachnoclostridium sp. YL32	Cercospora beticola	-0.358159083
Lachnoclostridium sp. YL32	Kluyveromyces marxianus	-0.320908977
Lacrimispora saccharolytica	Yarrowia lipolytica	-0.336466877
Lacrimispora saccharolytica	Aspergillus fumigatus	-0.361456199
Lacrimispora saccharolytica	Aspergillus luchuensis	-0.314565086
Lacrimispora saccharolytica	Aspergillus oryzae	-0.394731647
Lacrimispora saccharolytica	Cercospora beticola	-0.361818405
Lacrimispora saccharolytica	Kluyveromyces marxianus	-0.333367782
Longicatena caecimuris	Yarrowia lipolytica	-0.300468188
Longicatena caecimuris	Thermothelomyces thermophilus	-0.308376968
Methanobrevibacter sp. AbM4	Aspergillus fumigatus	0.319123004
Methanobrevibacter sp. AbM4	Aspergillus oryzae	0.327061739
Methanobrevibacter sp. AbM4	Kluyveromyces marxianus	0.314547397
Methanobrevibacter_A smithii_A	Yarrowia lipolytica	-0.346461183
Methanobrevibacter_A smithii_A	Aspergillus fumigatus	-0.350828037
Methanobrevibacter_A smithii_A	Aspergillus oryzae	-0.416763959
Methanobrevibacter_A smithii_A	Cercospora beticola	-0.325417969
Methanobrevibacter_A smithii_A	Kluyveromyces marxianus	-0.32297873
Methanobrevibacter_A smithii_A	[Candida] glabrata	-0.332077112
Methanobrevibacter_A smithii_A	Thermothelomyces thermophilus	-0.337942637
Nocardioides sp. TF02-7	Yarrowia lipolytica	0.313514459
Nocardioides sp. TF02-7	Aspergillus fumigatus	0.333523716
Nocardioides sp. TF02-7	Aspergillus oryzae	0.352506043
Nocardioides sp. TF02-7	Kluyveromyces marxianus	0.309551782
Nocardioides sp. TF02-7	[Candida] glabrata	0.308377917
Oscillibacter sp. NSJ-62	Yarrowia lipolytica	-0.328943909
Oscillibacter sp. NSJ-62	Aspergillus oryzae	-0.375363212
Oscillibacter sp. NSJ-62	Thermothelomyces thermophilus	-0.315329892
Pseudomonas thivervalensis	Aspergillus oryzae	0.328259537
Pusillibacter faecalis	Aspergillus oryzae	-0.306158652
Roseburia sp. NSJ-69	Aspergillus oryzae	-0.354900274
Ruthenibacterium lactatiformans	Yarrowia lipolytica	-0.329451552
Sphingomonas melonis	Aspergillus oryzae	0.304256813
Sphingomonas sp. NIC1	Aspergillus oryzae	0.320699419
Vescimonas coprocola	Aspergillus oryzae	-0.374771558
Vescimonas coprocola	Kluyveromyces marxianus	-0.30711736
Vescimonas fastidiosa	Aspergillus oryzae	-0.330508558
