PG.ProteinGroups	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T21	T22	T23	T26	T27	T28	T29	T30	T32	T33	T34	T35	T36	T37	T38	T39	T42	T43	T44	T45	T46	T47	T48	T50	T51	T52	T53	T55	T57	T58	T59	T60	T62	T63	T64	T65	T66	T67	T68	T69	T70	T71	T72	T73	T74	T75	T76
A0A087WT71	15.65426355	18.16874984	16.65958745	17.91171464	18.35065166	15.3672149	18.64785155	17.9701188	0.583204605	0.58058261	16.4000501	0.579945225	0.577903743	18.24582555	0.579803135	16.36636037	16.48981024	18.21669628	18.05653188	18.67521709	17.68542861	16.30617228	18.03269754	17.38057191	18.31802942	16.83953319	17.41924965	16.59000287	17.47357323	17.29465917	17.15989212	16.10789007	15.4011721	17.46146995	14.66843068	15.68823611	18.78028965	17.00122159	0.580658806	0.585058403	1.496353208	0.578595711	17.6271912	17.56665973	0.581156132	19.10258784	0.579701213	17.34642256	0.580104641	0.587893442	13.80298053	15.9829653	17.52651619	13.28476354	0.582812059	19.85472716	1.298865541	18.86927444	0.575802043	0.591744078	2.59699818	15.97402293
A0A087WTC6;D6R9E3;D6RCT6;Q9BWT6	0.579615062	0.580634186	18.22180289	0.588803594	0.58918418	0.592554077	0.57901298	20.21392386	0.587307329	0.593255911	0.592031135	0.587475505	0.59252679	0.587766973	0.582435569	0.589646004	0.577373726	0.577236139	0.591914584	0.585801897	0.593127325	0.592052053	20.33389783	0.579686715	0.588292864	0.590794023	0.576387896	0.58253201	0.593384875	20.74312262	0.585500754	19.63042367	0.586882232	0.593265424	16.68348127	0.577036243	20.78651323	0.593919282	0.593909503	0.585035929	0.592961031	18.85118286	0.593104499	18.04293847	0.580525516	0.591014142	0.578705674	0.587406808	0.586495461	18.61052453	20.67870565	0.580157324	20.05235926	20.28544907	0.589592196	0.587499594	0.588534752	0.583872215	0.581954925	0.577371349	0.590326508	0.593210092
A0A087WTW0;A0A087WVR3;Q96T88	0.575875141	16.20073326	17.40913128	17.32443384	19.04376776	17.51528452	17.17234983	17.10788528	0.592867524	0.586793662	0.576088638	12.39947782	0.586668366	16.48980228	0.593515787	14.15084507	14.7899082	0.576391948	15.22301963	15.36041029	20.22358814	17.63155155	17.92105431	0.591567778	18.26236874	15.33643818	18.19327147	16.88034741	18.68393396	18.3116243	16.42030876	17.76221494	14.67404385	14.49985014	18.54403962	0.587689409	18.34196789	0.582695763	19.73408183	15.65793378	14.00583799	17.29205843	16.22524025	17.93154747	19.28774859	18.37601566	20.22728337	15.40463174	17.51645461	17.8060933	18.70064132	18.2652117	17.68114746	18.16377665	0.584702863	16.18772947	0.578695206	0.582660747	17.58995065	0.589778699	0.590473461	0.577429089
A0A087WU02;Q96RQ1	14.15370401	18.81898778	19.10578241	18.23766731	19.71133834	19.88842304	19.67271753	19.63908519	0.58528114	0.58932677	19.45324438	0.591738943	0.584853652	17.65617257	0.593328726	19.1348634	18.63644042	19.47331384	20.77747837	0.590694936	0.576947333	17.99937178	19.6377344	0.592910974	20.15141951	19.36851379	18.94461699	16.26940266	19.34539523	18.90813329	19.12004688	18.36937543	18.30415382	14.07927122	18.07830964	17.54622212	18.94521359	0.586997128	18.71182764	17.69099097	19.89248121	18.42820795	19.47913734	17.3511649	18.07407807	20.3488682	0.585210716	18.68409282	0.587229432	17.79167711	17.97609698	18.07760869	18.69807659	19.17040265	0.575627391	0.592701588	17.31370305	18.99272004	17.84512343	21.08086436	0.585847886	18.40412704
A0A087WU03	0.584165442	15.70314762	1.212792469	15.43657342	1.919967597	14.37442358	13.35498848	1	0.583545616	0.582256636	0.580778012	0.592974351	0.587888765	18.59672788	1.8952564	0.590361918	0.59209659	0.5795339	0.576076597	0.585755858	0.590025258	12.79906567	0.582224435	0.588760873	17.8883423	0.593060341	0.576671587	0.583378823	18.05685416	18.10706634	1.140643041	0.587200549	0.593002388	0.584772849	0.58844126	0.58813026	0.581704943	0.585072676	13.12194765	17.67045344	0.577620888	15.55890505	0.593488565	1.198489331	16.51931699	16.25861017	16.96813344	0.594264019	0.593653979	19.5433991	18.62707873	18.86054995	16.64100424	17.64479378	0.583494716	0.58927092	0.589389096	0.591063122	0.582854814	0.593377595	0.57559287	0.586235883
A0A087WU53;Q9H0U3	22.3379983	22.09216079	20.77405771	21.1882547	23.3191623	21.31863727	21.73255304	20.86649782	19.52565438	22.86936482	21.416679	23.59682921	23.02340158	21.26789524	20.41503741	21.01331722	22.14294684	22.63615739	20.615832	22.26684729	25.25609669	22.41413616	21.26718073	20.06441813	21.58403109	23.01310165	23.07718457	24.11740428	21.32486161	20.75176316	22.15503838	20.6900001	20.9030666	19.26088595	22.4153445	22.61233951	19.39546209	23.81005184	22.91119054	19.58458868	24.40525464	21.64743713	21.57062311	22.6959729	23.77638122	23.42586768	26.16948911	22.63336578	21.95920205	20.06939732	22.24969608	21.25780158	23.48484096	21.94627914	19.31511735	24.48061476	26.00291751	25.97513542	21.36222638	19.22297999	19.13273395	23.61461729
A0A087WU64;A6NMQ1;P09884	23.15273186	20.48906297	20.67457332	21.99690667	19.74109301	21.94572039	19.26790952	21.15573699	25.20678578	22.30748295	21.05947386	0.590598796	0.590362853	18.43134023	20.14326144	18.95062397	18.48407795	21.35965279	20.64853412	22.95286191	21.12779585	16.86929355	19.04918865	24.19329923	17.73123367	20.74395343	20.72938052	22.48624852	18.44245709	19.05733521	18.44403024	20.37548401	17.88404509	20.75083055	22.69500851	20.69948117	18.01796699	21.62588639	21.74463811	21.94270904	0.580309463	21.12907057	18.7743077	20.53883816	22.14060123	23.80092418	22.80537931	21.98267177	23.7258008	20.06730108	16.88027603	19.49251214	15.50032148	19.00379891	24.03861001	22.68152958	20.96106457	19.9769468	21.81069047	0.586517976	0.588135581	18.22406823
A0A087WU78;A0A087WWC4;Q6T4R5	0.583756848	15.42789183	16.66955703	0.588640818	0.587817196	0.587021	0.580645438	15.14919558	0.594367633	0.580325437	0.579957295	0.590670712	0.587029166	18.21701444	0.579807282	0.584373015	14.74940607	0.576433619	0.581117445	0.585430433	0.584905782	0.577069159	0.580380129	0.594500094	16.10273568	0.580276311	16.10541365	0.588604077	16.04580698	16.70828341	0.576709883	0.585474445	0.588258289	0.579951158	0.575614585	0.589733426	14.18451506	0.576866827	0.586202402	0.585501062	0.592260706	0.583762589	14.41851265	0.589098108	0.577731747	0.592914203	0.586494426	0.580244292	0.588113333	0.576304702	15.14639341	13.78408365	0.584262762	0.582200076	0.578353696	0.584358245	0.585983302	0.579573191	0.588124398	0.592721837	0.578458127	0.57936427
A0A087WUK4;P13056	0.593016265	16.73149244	0.579093589	14.7647556	0.592102143	0.581367276	14.92582324	16.80368841	0.580910051	0.586159544	0.581500386	0.58442968	0.579905551	0.593437693	0.587907627	14.50538199	0.583758524	0.588293576	0.589656175	0.575710701	0.579978056	0.587360098	0.581488901	0.590692755	0.587627896	15.57360119	16.52424386	16.27777421	15.56745411	16.32922835	0.591194824	15.78037977	16.21528014	15.76821987	16.4135072	14.00859788	16.59734527	0.580155052	0.582612252	15.01175856	0.578529206	15.81883072	14.36881349	15.07596561	0.577124516	0.588745453	0.585378794	0.585330613	0.587019466	0.576490292	15.1639337	15.6821695	0.584280175	16.04759041	0.586482807	0.578214982	0.576590802	14.06052426	0.587980515	0.586699898	0.576559428	15.40791837
A0A087WUV9;Q9NV66	0.585551296	17.829451	18.96564418	17.88086976	0.581939088	17.86355526	16.28781846	16.58588105	0.587600674	0.58333625	0.580899408	0.594066954	0.575438438	18.11825785	0.582678878	16.43123679	16.29535949	0.577246761	19.80421376	0.581958218	0.594091343	0.585924562	16.41306837	0.58878536	16.75898358	0.577236597	0.576262763	0.591512051	18.11270198	16.4887626	0.582200035	16.73884311	0.590405088	20.84794193	0.594211904	0.581999106	16.99270068	0.581811156	15.60329423	19.97048861	0.585777045	16.21938731	17.6602609	16.85149934	0.593065207	0.581083228	0.5852421	0.583527097	0.582424505	17.71483338	16.92291245	16.97001739	18.43408402	18.1017941	0.581809495	0.589356165	0.585517606	17.73540852	18.57644629	0.590416224	0.592300651	0.585993824
A0A087WUW9;Q9NXU5	0.583018097	20.12770266	20.59294559	20.19243264	21.12044688	0.580354803	20.70139044	15.86149938	0.58037368	0.592926036	0.579415142	0.584520476	0.585750766	19.48896579	0.580505358	21.40788052	0.589243289	22.09918229	0.578334853	22.53189935	21.51517394	19.475958	19.41637052	22.58683269	20.47589593	21.44545152	0.587370236	0.592449243	20.63301727	20.08991529	21.57385252	22.86529963	0.592974007	22.72743358	0.576307999	0.580107519	21.24984361	22.96332325	0.591928543	0.583577173	20.17503156	20.6219527	15.82670219	20.30811124	22.76146449	0.589270922	0.592232624	22.0717792	0.592169128	20.46622586	18.82694313	20.02979339	20.26826799	20.10819996	0.591243367	0.575797698	0.589272256	0.577822436	22.60204853	0.587543873	17.93969291	19.35031066
A0A087WUY7;O75928	0.591764299	17.11401489	19.48201543	16.15448841	0.579417025	0.592512044	0.585273474	18.03292433	0.583879348	0.590102698	0.582227044	0.582619448	0.590888984	19.18181074	0.583106095	0.578481148	16.97621492	0.591795506	0.575826743	0.585630093	0.584134339	0.576839079	0.590831266	0.593310186	0.577460433	17.18129544	0.5782249	0.591954077	0.592896672	17.94999373	0.586049699	0.581894486	0.580346418	0.577260091	0.58516756	0.588153209	18.2566625	16.02295343	0.592593368	0.590421463	20.21563031	0.583040116	17.66228123	0.590836444	0.592409834	0.578462377	0.578751527	0.577661543	16.65937143	0.585144659	18.02653087	17.27946592	18.13494641	0.582773688	0.589638408	0.589049947	0.583433026	0.594111438	0.578753838	0.586068033	0.594347102	0.581154737
A0A087WV25;O95684	19.2931716	19.24606049	17.17787343	17.11455923	20.47909983	20.1496386	19.2245355	17.74267621	0.59209609	18.72344576	18.68155424	0.590678638	0.591901235	20.29058898	0.578584925	19.11091432	20.09659935	22.27951423	20.4321992	16.96170174	19.93966709	18.79935465	18.28254268	0.581648156	17.8481397	18.04041482	18.46805285	18.55628163	18.18804532	19.95279189	18.40497379	20.09828209	14.81984882	19.88675581	19.97487685	16.97078462	19.02859509	22.29482993	17.91523869	20.49799554	21.89313995	18.61227257	18.88064887	19.33301432	20.30587945	18.51715274	16.42785604	19.46522697	18.80861928	19.43315535	18.73514766	19.38441713	18.99615442	18.92150738	23.75062685	21.37022777	0.588553695	17.68337439	17.10581454	0.584116037	1.764012848	20.28619746
A0A087WVA8;Q8IWB9	21.11708962	23.12978877	23.60017018	21.59450606	22.00232934	22.00546727	22.43237534	22.54708704	0.588387652	25.60681377	22.58458524	24.61557593	23.8030995	20.74079119	22.44002511	24.28844024	23.07988545	25.61055092	22.98471571	19.69433344	22.88789412	21.37226409	22.18839069	24.37819899	21.26670349	21.08602135	22.41442072	22.67408675	20.9984892	21.36548091	21.87015077	21.76586273	22.67929496	24.03187877	18.71265598	21.5321603	21.99245132	22.86701182	24.18099442	19.57471074	24.06051791	21.59150534	22.6006263	22.39278632	23.68986215	22.33741447	21.88143963	20.5541799	24.02483641	20.43857182	20.60351905	21.75541645	22.25644166	21.22791217	0.591677996	23.96439657	25.102958	23.82267206	22.25827201	0.588048322	0.593425339	22.51816808
